ANTALL,STATUS_KODE,REGISTRERT
200,OK,2019-08-31
79,MANUELL BEHANDLING,2019-03-30
1,OK,2019-10-16
56,MANUELL BEHANDLING,2019-01-26
2,AVVIST,2019-08-17
2,AVVIST,2019-06-29
1,MANUELL BEHANDLING,2019-11-12
2,AVVIST,2019-06-22
3,AVVIST,2019-06-09
1,AVVIST,2018-11-24
72,MANUELL BEHANDLING,2019-05-04
2,AVVIST,2019-06-08
1,AVVIST,2018-06-10
2,AVVIST,2018-09-09
1,OK,2019-10-24
3,OK,2019-10-28
1,OK,2019-12-05
1,AVVIST,2019-09-01
3711,MANUELL BEHANDLING,2018-02-27
790,MANUELL BEHANDLING,2018-03-28
127,OK,2018-03-29
1768,MANUELL BEHANDLING,2018-03-26
4944,MANUELL BEHANDLING,2018-04-03
47,AVVIST,2018-06-29
81,MANUELL BEHANDLING,2018-06-17
46,MANUELL BEHANDLING,2018-06-23
2637,MANUELL BEHANDLING,2019-02-20
9742,OK,2019-02-20
3410,MANUELL BEHANDLING,2019-02-18
2928,MANUELL BEHANDLING,2019-02-19
14331,OK,2018-02-27
58,AVVIST,2018-04-09
171,OK,2018-12-26
10562,OK,2018-03-07
74,MANUELL BEHANDLING,2018-03-10
51,AVVIST,2018-03-13
227,MANUELL BEHANDLING,2018-01-01
22642,OK,2018-01-02
3313,MANUELL BEHANDLING,2019-01-21
2905,MANUELL BEHANDLING,2019-01-22
9739,OK,2019-01-16
36,AVVIST,2018-10-18
2063,MANUELL BEHANDLING,2018-10-05
2750,MANUELL BEHANDLING,2018-10-09
18,AVVIST,2019-07-12
7969,OK,2019-07-15
19,AVVIST,2019-07-16
1200,MANUELL BEHANDLING,2019-07-17
137,OK,2019-07-20
10604,OK,2018-01-25
191,OK,2019-07-14
5626,OK,2019-07-23
8569,OK,2018-10-04
63,AVVIST,2018-09-05
19966,OK,2019-03-04
14667,OK,2019-02-28
392,OK,2019-03-03
3372,MANUELL BEHANDLING,2019-02-28
12995,OK,2019-03-01
16083,OK,2018-01-31
18066,OK,2019-04-23
1280,MANUELL BEHANDLING,2018-07-26
9395,OK,2019-05-23
2616,MANUELL BEHANDLING,2019-05-14
2680,MANUELL BEHANDLING,2018-08-20
3117,MANUELL BEHANDLING,2018-10-31
3039,MANUELL BEHANDLING,2018-10-30
318,MANUELL BEHANDLING,2018-12-31
2,AVVIST,2019-03-03
4719,OK,2019-07-26
291,OK,2019-07-27
1865,MANUELL BEHANDLING,2019-07-30
3761,MANUELL BEHANDLING,2018-01-05
2232,MANUELL BEHANDLING,2018-07-02
40,AVVIST,2018-07-02
72,MANUELL BEHANDLING,2018-07-01
161,OK,2018-06-30
4,AVVIST,2018-06-30
10718,OK,2019-01-11
129,OK,2019-07-13
9569,OK,2019-05-24
3187,MANUELL BEHANDLING,2018-03-02
339,OK,2019-05-30
12270,OK,2019-05-28
8378,OK,2018-08-14
62,AVVIST,2018-09-04
3188,MANUELL BEHANDLING,2019-01-28
1,OK,2019-09-27
5164,OK,2019-09-06
2542,MANUELL BEHANDLING,2018-08-30
17614,OK,2019-04-29
2390,MANUELL BEHANDLING,2018-06-12
49,AVVIST,2019-01-30
42,AVVIST,2018-08-24
62,AVVIST,2018-03-12
10360,OK,2018-01-17
50,AVVIST,2018-12-12
12364,OK,2018-05-31
2552,MANUELL BEHANDLING,2018-05-24
2399,MANUELL BEHANDLING,2018-05-25
9775,OK,2018-05-29
9790,OK,2018-11-13
2592,MANUELL BEHANDLING,2018-09-27
4,OK,2019-10-14
2726,MANUELL BEHANDLING,2018-10-16
16334,OK,2018-10-15
8463,OK,2018-10-11
52,AVVIST,2018-10-11
63,AVVIST,2018-04-06
54,AVVIST,2018-05-16
96,OK,2018-05-17
36,MANUELL BEHANDLING,2018-05-17
2608,MANUELL BEHANDLING,2018-05-15
54,AVVIST,2019-06-12
9465,OK,2018-09-18
8676,OK,2018-09-19
49,AVVIST,2018-09-19
50,AVVIST,2018-09-14
73,MANUELL BEHANDLING,2019-03-09
